0,1
基隆 信義店 SPORT,基隆市信義區義昭里 3鄰信一路92號1F
台北 101店 ELITE,臺北市信義區市府路 45號6F
台北 民生店 ELITE,臺北市松山區民生東路 三段156號B1
台北 FITZONE 飛動天母店,臺北市士林區中山北路 七段73號
台北 FITZONE 飛動公館店,臺北市大安區羅斯福路 三段281號1F
台北 民權西店 EXPRESS,臺北市大同區民權西路 136號1F&B1
台北 麗水店 EXPRESS,臺北市大安區麗水街 18號1F
台北 大直店 SPORT,臺北市中山區堤頂大道 二段588號
台北 光復店 SPORT,臺北市大安區忠孝東路 四段330號B1
台北 公館店,臺北市中正區羅斯福路 四段68號2F
台北 站前店,臺北市中正區忠孝西路 一段50號6F
台北 長春店,臺北市中山區長春路 90號
台北 民權東路,臺北市中山區民權東路 三段86號1F
台北 南京店,臺北市松山區南京東路 五段196號1F
台北 大安店,臺北市大安區信義路 四段6號3F
台北 統領店,臺北市大安區忠孝東路 四段201號3F
台北 台北西門店,臺北市萬華區西寧南路 36號B1
台北 松仁店,臺北市信義區松仁路 277號1F
台北 松隆店,臺北市信義區松隆路 125號1F
台北 天母德行店,臺北市士林區德行東路 331巷35號
台北 天母店,臺北市士林區中山北路 七段34號
台北 內湖店,臺北市內湖區康寧路 三段72號6F
台北 內湖福華店,臺北市內湖區民權東路 六段180巷6號B2
新北 土城中央店 EXPRESS,新北市土城區中央路 二段191號1F
新北 泰山店 EXPRESS,新北市泰山區明志路 三段83號B1
新北 蘆洲店 EXPRESS,新北市蘆洲區民族路 31號之5
新北 永和店 SPORT,新北市永和區仁愛路 309號B1
新北 北新莊店 SPORT,新北市新莊區幸福路 778號B1
新北 板橋雙十店,新北市板橋區雙十路 二段143號1F
新北 板橋府中店,新北市板橋區中山路 一段10號1F
新北 板橋中山店,新北市板橋區中山路 二段326號1F
新北 汐止店,新北市汐止區中興路 168號2F
新北 新店店,新北市新店區中興路 三段1號5F
新北 永和民權店,新北市永和區民權路 53號B1
新北 中和店,新北市中和區中山路 三段35-3號1F
新北 景平店,新北市中和區景平路 182號1樓
新北 土城店,新北市土城區青雲路 152號5F
新北 三重店,新北市三重區重新路 二段78號1F
新北 新莊店,新北市新莊區民安路 188巷5號B2
新北 淡水店,新北市淡水區大忠街 89號1F
桃園 南崁店 EXPRESS,桃園市蘆竹區南崁路 265號1F
桃園 內壢店 SPORT,桃園市中壢區中華路 一段667號2F
桃園 國強店 SPORT,桃園市桃園區國強一街 136號
桃園 林口店,桃園市龜山區復興一路 222號1F
桃園 中壢店,桃園縣中壢市中山路 136號2F
桃園 大有店,桃園市桃園區大有路 630號1F
桃園 復興店,桃園市桃園區復興路 186號1F
新竹 巨城店 SPORT,新竹市東區中央路 229號6F
新竹 竹北店 SPORT,新竹縣竹北市光明六路 東一段189號
新竹 林森店,新竹市北區林森路 273號2F
新竹 中正店,新竹市東區中正路 110號1F
苗栗 竹南,苗栗縣竹南鎮民權街 51巷51號B1
苗栗 苑裡,苗栗縣苑裡鎮為公路 65-1號
台中 FITZONE 飛動公益店,臺中市南屯區大墩路 632號1F
台中 豐原店 SPORT,臺中市豐原區南陽路 508號
台中 學府店,台中市南區學府路 170號B1
台中 美村店,台中市西區美村路 一段22號B1
台中 一中店,台中市北區三民路 三段125號2F
台中 崇德店,台中市北屯區崇德路 二段16號1F
台中 西屯店,臺中市西屯區西屯路 二段258號1F
台中 黎明店,臺中市南屯區黎明路 二段425號1F
台中 大甲店,臺中市大甲區仁愛街 25號1F
台中 清水店,台中市清水區中山路 129號
彰化 員林店,準備中
台南 中華西店 EXPRESS,臺南市中西區中華西路 二段650號
台南 西門店 SPORT,臺南市北區西門路四段 61號及四段65巷47號
台南 永康店 SPORT,台南市永康區中華路 725之1號B1
台南 FOCUS店,台南市中西區中山路 166號B1
台南 長榮店,台南市東區長榮路 一段181號3F
台南 國賓店,台南市東區中華東路 一段70號2F
台南 樹林店,臺南市南區樹林街 二段227號
台南 善化店,台南市善化區中正路 332號(善化郵局)
高雄 楠梓店 EXPRESS,高雄市楠梓區德民路 951號
高雄 辛亥店 EXPRESS,高雄市左營區辛亥路 250號1F
高雄 博愛店 EXPRESS,高雄市左營區自由二路 206號(預售中心)
高雄 文衡店 EXPRESS,高雄市鳳山區文衡路 506號1F
高雄 中華店,高雄市前金區中華三路 149號1F
高雄 SOGO店,高雄市前鎮區三多三路 217號16F
高雄 寶成店,高雄市前鎮區民權二路 8號1F
高雄 鳳山店,高雄市鳳山區中山路 149號
高雄 岡山店,高雄市岡山區民有路 68號5F
高雄 大統和平店,高雄市苓雅區和平一路 218號10F
屏東 自由店,屏東縣屏東市自由路 550號B1
屏東 潮州店,屏東縣潮州鎮延平路 117號2F
宜蘭 友愛店,宜蘭縣宜蘭市舊城東路 50號5F
宜蘭 羅東店,宜蘭縣羅東鎮興東路 85號
花蓮 國聯店,花蓮縣花蓮市國聯五路 58號
